編號,屬性,機構名稱,負責人,鄉鎮別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
1,私立,雲林縣私立金典老人長期照顧中心(養護型),蘇曉梅,二崙鄉,雲林縣二崙鄉港後村15鄰港後路63-1號,05-5980868,養護,35(含插2管18床),103.6,23.7951363,120.3917855
2,私立,雲林縣私立幸福之家老人長期照顧中心(養護型),陳佩玉,二崙鄉,雲林縣二崙鄉崙東村6鄰裕民路22巷9號,05-5980379,養護,49(含插2管24床),103.6,23.776195,120.4129678
3,私立,雲林縣私立養生老人長期照顧中心（養護型）,蔡金水,土庫鎮,雲林縣土庫鎮忠正里中華路100號,05-6624800,養護,49(含插2管24床),102.3,23.6712497,120.3880984
4,私立,雲林縣私立大華老人長期照顧中心〈養護型〉,沈正雄,大埤鄉,雲林縣大埤鄉南和村20鄰民族路81號,05-5918758,養護,36(含插2管18床),101.1,23.6431791,120.43373
5,私立,雲林縣私立博愛老人養護中心,曾順元,元長鄉,雲林縣元長鄉長南村中山路1巷22號,05-7888688,養護,49(含插2管24床),91.12,23.6494544,120.3135715
6,私立,雲林縣私立萊園長期照護中心,劉俊南,元長鄉,雲林縣元長鄉元南路6-20號,05-7888955,長照,30,97.7,23.6448209,120.3206117
7,私立,雲林縣私立朝陽老人養護中心,廖淑卿,斗六市,雲林縣斗六市鎮東里大學路1段201巷79號,05-5345039,養護,30 (含插2管15床),93.8,23.7103628,120.558239
8,私立,雲林縣私立慈暉老人養護中心,黃維新,斗六市,雲林縣斗六市虎溪里興農路632號,05-5510711,養護,46(含插2管23床),93.04,23.7211246,120.5186093
9,私立,雲林縣私立弘愛老人長期照顧中心(養護型),廖春崧,斗六市,雲林縣斗六市十三里10鄰十三北路101號,05-5518976,養護,45(含插2管23床),103.4,23.7515748,120.5622667
10,私立,財團法人天主教中華道明修女會附設私立福安老人療養所,李素貞,斗南鎮,雲林縣斗南鎮北銘里15鄰興北路99號,05-5974374,養護,99(含插2管44床),102.1,23.67943,120.481686
11,私立,雲林縣私立恩惠老人長期照顧中心〈養護型〉,林秀玉,斗南鎮,雲林縣斗南鎮東明里2鄰新庄20-36號,05-5952520,養護,49(含插2管24床),100.9,23.6873177,120.4944174
12,私立,雲林縣私立石龜老人養護中心,徐榮彬,斗南鎮,雲林縣斗南鎮靖興里靖光路37號,05-5968757,養護,36(含插2管18床),101.7,23.6445965,120.4801253
13,私立,雲林縣私立慈愛老人養護所,蘇日長,斗南鎮,雲林縣斗南鎮阿丹里興中1號,05-5961134,養護,49(含插2管24床),101.6,23.653449,120.50768
14,私立,雲林縣私立僑真老人養護中心,江宗佑,斗南鎮,雲林縣斗南鎮舊社里新生3路2840號,05-5954859,養護,45(含插2管23床),101.6.4,23.666949,120.4766185
15,私立,雲林縣私立聖元老人養護中心,郭阿淑,斗南鎮,雲林縣斗南鎮小東里17鄰大業路125-1號,05-5968545,養護,44(含插2管22床),99.5,23.693033,120.4744363
16,私立,雲林縣私立全佑老人長期照顧中心〈養護型〉,陳國良,斗南鎮,雲林縣斗南鎮新光里18鄰文安30-22號,05-5977129,養護,49(含插2管24床),102.5,23.6926272,120.4830051
17,私立,雲林縣私立雙福佛門老人長期照顧中心(長期照護型),許哲源,斗南鎮,雲林縣斗南鎮小東里17鄰大葉路152巷5弄28號,05-5977899,長照,48,103.6,23.6937341,120.478247
18,私立,雲林縣私立長青老人長期照顧中心〈養護型〉,許君菽,北港鎮,雲林縣北港鎮新厝里9鄰新厝110-30號, 05-7822866,養護,40(含插2管20床),100.6,23.5853508,120.3161625
19,私立,雲林縣私立安家園老人長期照顧中心〈養護型〉,陳佩伶,北港鎮,雲林縣北港鎮後溝里7鄰灣內77號,05-7821666,養護,49(含插2管24床),100.11.,23.578912,120.318533
20,私立,雲林縣私立安親院老人長期照顧中心〈養護型〉,陳映州,北港鎮,雲林縣北港鎮後溝里灣仔內路76號,05-7834995,養護,49(含插2管24床),101.8,23.578348,120.3184886
21,私立,雲林縣私立長榮老人長期照顧中心〈長期照護型〉,鄭山林,北港鎮,雲林縣北港鎮劉厝里民樂路427-28號,05-7832988,長照,41,98.11,23.5845963,120.2905319
22,私立,雲林縣私立安泰老人長期照護中心,林惠珍,北港鎮,雲林縣北港鎮劉厝里民樂路427-22號,05-7832588,長照,48,91.05,23.5845963,120.2905319
23,私立,雲林縣私立華山老人養護中心,劉怡伶,古坑鄉,雲林縣古坑鄉華山村91號,05-5901879,養護,38(含插2管19床),99.08,23.5885641,120.6056064
24,私立,雲林縣私立永光老人養護中心,陳正義,古坑鄉,雲林縣古坑鄉永光村光興路20號,05-5828927,養護,41(含插2管21床),101.6,23.6199026,120.558461
25,私立,雲林縣私立聖誕老人長期照顧中心(養護型),郭惠蘭,古坑鄉,雲林縣古坑鄉麻園村8鄰麻園60號,05-5823336,養護,49(含插2管24床),103.4,23.6373917,120.5388356
26,私立,雲林縣私立古坑老人長期照顧中心〈長期照護型〉,楊青真,古坑鄉,雲林縣古坑鄉永光村光華路190號,05-5829879,長照,49,97.09,23.6157009,120.5631414
27,私立,雲林縣私立平安老人長期照顧中心〈長期照護型〉,盧榮富,古坑鄉,雲林縣古坑鄉荷苞村荷苞厝109-8號,05-5266979,長照,28,98.06,23.6761299,120.5744023
28,私立,雲林縣私立歡禧老人長期照顧中心(養護型),黃春福,西螺鎮,雲林縣西螺鎮中興里19鄰福來路265巷15號,05-5880797,養護,45(含插2管22床),99.06,23.8006556,120.4496599
29,私立,財團法人雲林縣私立同仁仁愛之家,林金立,林內鄉,雲林縣林內鄉林茂村復興路34號,05-5892670,養護,150,102.3,23.7506916,120.6084504
29,私立,財團法人雲林縣私立同仁仁愛之家,林金立,林內鄉,雲林縣林內鄉林茂村復興路34號,05-5892670,長照,50,102.3,23.7506916,120.6084504
30,私立,雲林縣私立永祥老人長期照顧中心(養護型),李永祥,林內鄉,雲林縣林內鄉烏塗村5鄰忠庄58號,05-5899266,養護,48(含插2管24床),102.7,23.759965,120.601553
31,私立 ,雲林縣私立新樂園老人長期照顧中心〈養護型〉,蔡順正,虎尾鎮,雲林縣虎尾鎮三合里10鄰吳厝59號,05-6621559,養護,49(含插2管24床),97.07,23.6863516,120.3965389
32,私立,雲林縣私立柏翔老人養護中心,陳羽睖,虎尾鎮,雲林縣虎尾鎮下溪里大庄73之58號,05-6225088,養護,46(含插2管23床),102.3,23.712611,120.459434
33,私立,雲林縣私立雙福寶佛門老人養護中心,黃素梅,虎尾鎮,雲林縣虎尾鎮平和里平和厝68之3號,05-6314899,養護,48(含插2管24床),92.03,23.703401,120.455024
34,私立,雲林縣私立伊甸園老人長期照顧中心〈養護型〉,林珠,虎尾鎮,雲林縣虎尾鎮下溪里大庄76-16號,05-6326767,養護,49(含插2管24床),102.3,23.7052359,120.4602287
35,私立,雲林縣私立孝親養源老人長期照顧中心(養護型),廖  閂,虎尾鎮,雲林縣虎尾鎮墾地里1鄰虎興西八路368號,05-5529091,養護,49(含插2管24床),102.8,23.733465,120.4097699
36,私立,雲林縣私立健群老人長期照顧中心(養護型),蔡杰霖,虎尾鎮,雲林縣虎尾鎮平和里平和路35號,05-6362786,養護,36(含插2管18床),103.12,23.7045739,120.4550243
37,私立,雲林縣私立源春老人長期照顧中心〈養護型〉,莊大日,崙背鄉,雲林縣崙背鄉崙前村16鄰面前厝60號,05-6964007,養護,49(含插2管24床),101.8,23.7500283,120.3325817
38,私立,雲林縣私立祐康老人養護中心,林鳳玉,崙背鄉,雲林縣崙背鄉港尾村新鎮路45之3號,05-6969110,養護,20,99.13,23.7535218,120.3741235
39,私立,雲林縣私立三和老人長期照顧中心(長期照護型),林玉花,褒忠鄉,雲林縣褒忠鄉中民村大部路2-68號,05-6973618,長照,49,99.06,23.704372,120.318776
40,私立,雲林縣私立天主教聖家老人長期照顧中心（長期照護型）, 林嘉祈,虎尾鎮,雲林縣虎尾鎮下溪里8鄰大庄1-39號,05-6226830,長照,44,105.4,23.713175,120.463296
41,私立,雲林縣私立吉祥老人長期照顧中心(養護型),張靜娟,元長鄉,雲林縣元長鄉南村8鄰中山路9-100號,05-7888699,養護,49,105.4,23.6447539,120.3127508
